Restaurant ID,Restaurant First Active Date,GMV (Gross Merchandise Value) (EUR),Total Sales Before Discount (EUR),Commission (EUR),Bolt Investments to User Discounts (EUR),Restaurant Investments to User Discount (EUR),Net Rate (%),Requested Orders,Total Number of Delivered Orders,Monthly Active Users,New Users,Menu Conversion (%),Availability Rate (%),Menu Photo Coverage (%),restaurant Average Rates,Restaurant Total Rates,Restaurant Avergae Cooking Time
58739,44901,1620.569955,1523.561533,281.8545685,50.7268756,0,0.03195157,119,114,86,15,0.231999993,1,0.972129583,3.5,28,12.69298267
58747,44901,1951.827968,1854.102583,343.0043806,35.22442294,0,0.02793576,144,139,107,8,0.234042555,0.98494935,0.972129583,3.823529482,65,17.92086411
58759,44901,5617.905681,5313.309166,982.9659678,147.2730308,0,0.02301923,435,432,338,27,0.199628592,1,0.972129583,3.625,145,11.96064854
58756,44901,1713.734325,1616.976335,299.1385979,48.25771847,0,0.03096241,128,128,116,6,0.140969157,1,0.884664953,3.25,52,14.2109375
58758,44901,1537.275447,1444.891432,267.2908099,21.4972746,0,0.04423874,126,125,106,6,0.143507972,1,0.883615077,3.636363745,40,16.41600037
58765,44901,844.663073,792.343899,146.5841633,12.612412,0,0.0256631,66,64,60,1,0.125725344,1,0.972129583,3.222222328,29,8.40625
58748,44901,1491.983811,1414.883299,261.7493697,17.11482127,0,0.03940896,117,114,96,7,0.186795488,1,0.903033614,3.333333254,20,20.85964966
58760,44901,528.756756,498.72028,92.26480894,2.60944944,0,0.05568888,40,40,31,1,0.23391813,1,0.884664953,1.5,3,15.75
58746,44901,715.380435,670.82857,124.1127336,16.98043363,0,-0.02194907,64,57,54,6,0.148584902,1,0.881676555,3,27,22.36842155
58720,44897,454.902269,405.460876,110.8652822,3.13646682,35.91,0.07033908,41,41,33,1,0.149812728,0.993950784,0.96825397,3.400000095,17,3.804877996
58419,44894,1390.837312,1315.488954,243.3586323,34.52558874,0,0.01132739,110,109,99,5,0.151724145,1,0.903033614,3.636363745,40,24.11009216
57960,44894,3084.135673,2884.048022,533.5600357,56.23694088,0,0.01459364,250,242,180,14,0.247983873,1,0.997542977,3.217391253,74,19.27272797
57968,44894,1426.296503,1345.351533,248.9010343,29.295972,0,0.04205989,103,103,87,5,0.218220338,1,0.903033614,3.166666746,38,16.62135887
57959,44894,2886.269072,2732.246297,505.4682123,58.03245698,0,0.02996439,234,228,174,23,0.187449723,1,0.972129583,3.826086998,88,12.8596487
57955,44894,1615.082526,1540.051038,284.9129795,16.9685339,0,0.05615019,124,119,100,2,0.166441143,1,0.884664953,3.200000048,32,22.66386604
58417,44894,1475.682539,1388.069005,256.7947929,28.22023068,0,0.0362146,117,114,96,8,0.135103926,1,0.884664953,3.75,45,16.15789413
57966,44894,3292.559459,3091.863752,572.02041,68.51414322,0,0.01707675,279,264,204,13,0.224856913,1,0.972129583,3.032258034,94,17.53787804
57965,44894,2943.656498,2772.832083,512.9790697,59.21538902,0,0.0332421,237,232,203,10,0.177844763,1,0.884879112,3.75,90,20.50431061
57942,44894,2354.503133,2238.067747,414.0302591,67.22539266,0,0.03531977,188,185,157,15,0.149719775,1,0.884664953,3.538461447,92,15.36756802
